iter	Logloss
0	0.6848457253
1	0.6766438032
2	0.6685708647
3	0.6603325771
4	0.6534448616
5	0.646820101
6	0.6405162529
7	0.6347109143
8	0.6286221021
9	0.6232948807
10	0.6175930195
11	0.6121584063
12	0.6064329328
13	0.6017462735
14	0.5972942218
15	0.5923139242
16	0.5884739609
17	0.5846573574
18	0.5817010869
19	0.577956141
20	0.5740752035
21	0.5704415636
22	0.5676647844
23	0.5646914676
24	0.5618581831
25	0.5591273658
26	0.5561414853
27	0.5538579124
28	0.5513161196
29	0.5492126061
30	0.547096087
31	0.544818575
32	0.5424863885
33	0.5406330137
34	0.5384907357
35	0.5360486953
36	0.5338110843
37	0.5320237481
38	0.5298613934
39	0.5281185039
40	0.5268286671
41	0.5249895607
42	0.5235335226
43	0.5220056374
44	0.5203885433
45	0.5187722068
46	0.5174728367
47	0.5161793382
48	0.5148442341
49	0.5138666603
50	0.5126458611
51	0.5113037806
52	0.5098062631
53	0.5087472144
54	0.5075605709
55	0.5064019591
56	0.5053376386
57	0.5042898593
58	0.5034479615
59	0.5027893114
60	0.5019273052
61	0.5009604012
62	0.4998921032
63	0.4987839674
64	0.4978435799
65	0.4969403785
66	0.4961506928
67	0.4953965834
68	0.4945152581
69	0.4937239941
70	0.4929511022
71	0.4921875543
72	0.4916607604
73	0.491073547
74	0.490414739
75	0.4897280572
76	0.489075468
77	0.4883949103
78	0.4876449046
79	0.4869329059
80	0.4864756547
81	0.4860239277
82	0.4854512351
83	0.4849265879
84	0.4843844524
85	0.4838299426
86	0.483270161
87	0.4827091799
88	0.4821488617
89	0.4816834345
90	0.4812315182
91	0.4807143524
92	0.4800768523
93	0.4796426767
94	0.4792511169
95	0.4787580053
96	0.4782003703
97	0.4781184218
98	0.4776506587
99	0.4772616874
100	0.476737703
101	0.4762986345
102	0.4757822894
103	0.4751322256
104	0.474687696
105	0.4743470857
106	0.4739204231
107	0.4736143788
108	0.4733233606
109	0.4729695552
110	0.4725832986
111	0.4721852991
112	0.4718259694
113	0.4714906939
114	0.4710972716
115	0.4707332384
116	0.4703202444
117	0.470088541
118	0.4697399126
119	0.4692365101
120	0.4691907061
121	0.4687335495
122	0.4683752616
123	0.4679568064
124	0.4676939777
125	0.467400592
126	0.4671414251
127	0.4667971529
128	0.4664143057
129	0.466152424
130	0.4658504204
131	0.4655061482
132	0.4650781914
133	0.4647836692
134	0.4644931876
135	0.4642422282
136	0.4640191742
137	0.463673955
138	0.4631999416
139	0.4629399855
140	0.4626060359
141	0.4622257771
142	0.4620788633
143	0.4618888286
144	0.4617385055
145	0.4615616659
146	0.4614480239
147	0.4611652447
148	0.4608994487
149	0.4606065048
150	0.4602991664
151	0.4600769331
152	0.4598141991
153	0.4595371967
154	0.4593327358
155	0.4590451269
156	0.4586881016
157	0.4583702828
158	0.458178796
159	0.4578535905
160	0.457455875
161	0.4572594006
162	0.4569077418
163	0.4567300183
164	0.456487803
165	0.456253732
166	0.4560521437
167	0.4556411701
168	0.4554482312
169	0.4550357423
170	0.4549083686
171	0.4547799847
172	0.4545365382
173	0.4542900929
174	0.4540192146
175	0.4539019424
176	0.4536055893
177	0.4533548192
178	0.4532120091
179	0.4530627593
180	0.4526696211
181	0.4525277896
182	0.4521038733
183	0.4519308534
184	0.4517387353
185	0.4513904225
186	0.4511939166
187	0.4509441567
188	0.450761414
189	0.4504633879
190	0.4501988861
191	0.4500133024
192	0.4498660729
193	0.4496310865
194	0.449347676
195	0.4491029984
196	0.4487908933
197	0.4486075509
198	0.4483274865
199	0.4481483109
200	0.4478135089
201	0.4475063598
202	0.4472902506
203	0.4470550433
204	0.4468157321
205	0.4464629369
206	0.4461877969
207	0.4460495956
208	0.4457720251
209	0.4456404844
210	0.4454138318
211	0.4451870528
212	0.4450403284
213	0.4448287649
214	0.4447878222
215	0.4444786844
216	0.4443295608
217	0.4441087165
218	0.44392086
219	0.4437739777
220	0.4436178462
221	0.4433803344
222	0.4431994542
223	0.4428055268
224	0.4426086105
225	0.4422540159
226	0.4420423892
227	0.4417758356
228	0.4415943872
229	0.441328528
230	0.4411124188
231	0.4410098569
232	0.4408181492
233	0.4406989829
234	0.4405043394
235	0.4402795492
236	0.4401229758
237	0.439981018
238	0.4398741629
239	0.4396137965
240	0.4394763528
241	0.4391782635
242	0.4389625647
243	0.4387789066
244	0.4386736299
245	0.4383971326
246	0.4382464938
247	0.4380810184
248	0.4379617574
249	0.4377568862
250	0.4375207633
251	0.4373137771
252	0.4371090321
253	0.4369879086
254	0.4367835424
255	0.4366010839
256	0.4364477934
257	0.4361726535
258	0.4360161117
259	0.4357625637
260	0.4356382836
261	0.4354447765
262	0.4352123786
263	0.4351242113
264	0.434941595
265	0.4347240337
266	0.4344736109
267	0.4343143542
268	0.4341173116
269	0.4339227313
270	0.4337452603
271	0.4336129305
272	0.4333845101
273	0.4332150888
274	0.4328918405
275	0.4327460946
276	0.4325735482
277	0.4322158284
278	0.4320718187
279	0.4319443503
280	0.4317365748
281	0.431527221
282	0.4312784713
283	0.4310284589
284	0.4309124493
285	0.430791168
286	0.4306296386
287	0.4305111352
288	0.4302731815
289	0.4301293612
290	0.4300005038
291	0.4297723675
292	0.4294343772
293	0.4291819026
294	0.4290202468
295	0.4288822981
296	0.4286898327
297	0.428511036
298	0.4284014346
299	0.4282684419
300	0.4281257896
301	0.427940269
302	0.4277214134
303	0.4274455791
304	0.4273478785
305	0.4271489734
306	0.4269910426
307	0.4267582659
308	0.4265688941
309	0.4263621604
310	0.4262678691
311	0.4261089597
312	0.4259631823
313	0.4258536756
314	0.4256354514
315	0.4254540661
316	0.4253433283
317	0.4252117561
318	0.42497456
319	0.4247001145
320	0.4246020036
321	0.424542089
322	0.4244017411
323	0.4242473459
324	0.4240295005
325	0.4237993754
326	0.423649368
327	0.423532443
328	0.4233823092
329	0.423189907
330	0.4230071012
331	0.4228898606
332	0.4227884982
333	0.4226422473
334	0.4225046773
335	0.4223473147
336	0.422178872
337	0.4218553711
338	0.4217625635
339	0.4214438292
340	0.4211924279
341	0.4209306093
342	0.4207243491
343	0.4206128852
344	0.4204612994
345	0.4202503988
346	0.4200471059
347	0.4199501314
348	0.4197082633
349	0.4195852458
350	0.4193564466
351	0.4190564001
352	0.4189300366
353	0.4187170525
354	0.4186378819
355	0.4184021379
356	0.4182205001
357	0.418074407
358	0.417932607
359	0.4178073798
360	0.4175452772
361	0.417387157
362	0.4172879727
363	0.4170721476
364	0.4168521241
365	0.4165896111
366	0.4163531726
367	0.4162109938
368	0.4160631645
369	0.4157904553
370	0.4156972688
371	0.4155614035
372	0.415372158
373	0.4152455734
374	0.4150626098
375	0.4148977026
376	0.4147410345
377	0.4145331959
378	0.4143110258
379	0.414095106
380	0.4138655176
381	0.4137383332
382	0.4135785084
383	0.4134405596
384	0.4132926672
385	0.4131701863
386	0.4130384879
387	0.4128617746
388	0.4127260355
389	0.4125917801
390	0.4124766229
391	0.4123817003
392	0.4122501281
393	0.4120845264
394	0.4119518809
395	0.4117774405
396	0.4116768357
397	0.4114210781
398	0.4113037427
399	0.4111348265
400	0.411002623
401	0.4108570034
402	0.4106929801
403	0.410477155
404	0.4103034406
405	0.4102056769
406	0.4101280846
407	0.4099995745
408	0.4098991276
409	0.4097320738
410	0.4095895162
411	0.4094239462
412	0.4092799365
413	0.4090245892
414	0.408954289
415	0.4087844889
416	0.4086038297
417	0.4084995947
418	0.4083312467
419	0.4081989485
420	0.4080020637
421	0.407859885
422	0.407718306
423	0.4074034229
424	0.4072378844
425	0.4070951059
426	0.4069026089
427	0.4067597988
428	0.4066198297
429	0.4064748099
430	0.4062797876
431	0.4060918048
432	0.4059410398
433	0.4057985137
434	0.4056927951
435	0.4055259623
436	0.4053904758
437	0.4052010409
438	0.4050027356
439	0.4048794972
